Name,RA,DEC
Aquarius,22.40784,-10.15606
Aries,2.66237,+19.95906
Cancer,8.68322,+19.18940
Capricornus,21.02258,-18.55051
Gemini,7.15585,+23.25312
Leo,10.69330,+14.78016
Libra,15.22447,-15.15893
Ophiuchus,17.30225,-05.21711
Pisces,0.64826,+10.77037
Sagittarius,19.18492,-27.09177
Scorpius,16.79026,-31.81767
Taurus,4.42213,+16.83941
Virgo,13.28989,-02.63866
